Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
03/10,Ricoltex Srl,38527-0-1,CMAU-731519-6,EID0878688,Contenedor,1.0,0.0,PLZA,12:21 Realizado,8:30 ,-,-
06/10,Mazon Textil Sa,38554-0-1,UETU-619562-1,NBOE25017303,Contenedor,1.0,0.0,PLZA,Pendiente,9:00 ,-,-
06/10,Grupo De Asesoramien...,38440-1-1,TGBU-631729-8,PEF2508389-1,Bultos,6.0,10.0,NV2,17:58 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2642,http://dassa.mqbic.com/NewTallySalida.php?id=776
06/10,Grupo De Asesoramien...,38440-1-1,TGBU-631729-8,PEF2508389-1,Bultos,6.0,10.0,NV2,16:20 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2642,http://dassa.mqbic.com/NewTallySalida.php?id=776
06/10,Dagher S.A.,38623-0-1,MRSU-335766-2,OXOE2507035,Contenedor,1.0,0.0,PLZA,10:50 Realizado,8:30 ,-,-
06/10,Grupo De Asesoramien...,38440-4-1,MRSU-303521-8,PEF2508389-1,Bultos,21.0,70.0,NV4,16:20 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2641,http://dassa.mqbic.com/NewTallySalida.php?id=782
06/10,Lift Van Int. Co S.A,38371-1-1,OOCU-048760-4,LIFBUE25090018,Bultos,153.0,35.0,NAVE 3,18:38 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2619,http://dassa.mqbic.com/NewTallySalida.php?id=780
06/10,Lift Van Int. Co S.A,38286-1-1,GESU-112370-3,LIFBUE25090012,Bultos,59.0,10.0,ANEX-A1,18:38 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2573,http://dassa.mqbic.com/NewTallySalida.php?id=781
06/10,Bahia Blanca Viviend...,38590-0-1,FFAU-430595-2,Z330GZH2507011,Contenedor,1.0,0.0,PLZA,10:50 Realizado,8:00 ,-,-
06/10,Alas Comex S.A.,38557-0-1,FFAU-733764-0,NGBAGN25070154,Contenedor,1.0,0.0,PLZA,09:34 Realizado,8:00 ,-,-
06/10,Lift Van Int. Co S.A,38438-1-1,DRYU-417686-0,LIFBUE25080020,Bultos,6.0,40.0,IB5,13:44 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2637,
06/10,Mercovan Argentina S...,37917-1-1,FANU-373775-0,MVANES20252008-1,Bultos,231.0,50.0,NV2,18:37 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2417,
07/10,Mercovan Argentina S...,38317-1-1,CMNU-500009-1,MVANBOB202501,Bultos,11.0,50.0,ANEX-A1,11:41 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2598,
07/10,Novelty Trend Srl,38275-1-1,EITU-106334-7,TWLE25070162,Rollos,380.0,25.16,EA8,11:40 Realizado,9:00 ,-,-
07/10,Mercovan Argentina S...,38204-1-1,CMAU-239086-0,MVANES20251908,Bultos,62.0,17.0,ANEX-A1,18:05 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2548,
07/10,Mercovan Argentina S...,38317-2-1,TCLU-716296-9,MVANBOB202501,Bultos,13.0,50.0,ANEX-A1,11:41 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2599,
07/10,Mercovan Argentina S...,38318-1-1,TCLU-716011-7,MVANBOB202502,Bultos,15.0,50.0,ANEX-A1,16:36 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2595,
07/10,Mercovan Argentina S...,38318-2-1,TLLU-887867-9,MVANBOB202502,Bultos,36.0,50.0,ANEX-A1,16:36 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2597,
07/10,Multitransport Argen...,38627-0-3,TRHU-535131-0,TCQD2507196,Contenedor,1.0,0.0,PLZA,11:40 Realizado,8:00 ,-,-
07/10,Mercovan Argentina S...,38318-4-1,CMAU-458200-7,MVANBOB202502,Bultos,10.0,50.0,ANEX-A1,16:36 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2594,
07/10,Mercovan Argentina S...,38318-3-1,ECMU-709386-7,MVANBOB202502,Bultos,15.0,50.0,ANEX-A1,18:33 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2596,
07/10,Mercovan Argentina S...,38318-3-1,ECMU-709386-7,MVANBOB202502,Bultos,15.0,50.0,ANEX-A1,16:36 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2596,
07/10,Lift Van Int. Co S.A,38276-1-1,HLBU-164292-5,LIFBUE25090014,Bultos,237.0,48.0,IA6,Pendiente,9:30 ,http://dassa.mqbic.com/PublicTally.php?id=2566,
07/10,Edelweiss Spedition ...,38299-1-1,HLBU-180704-9,EDWBUE25080001,Bultos,153.0,60.0,IA8,16:48 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2577,http://dassa.mqbic.com/NewTallySalida.php?id=788
07/10,Multitransport Argen...,38627-0-1,BEAU-559667-2,TCQD2507196,Contenedor,1.0,0.0,PLZA,11:40 Realizado,8:00 ,-,-
07/10,Lift Van Int. Co S.A,38542-1-1,APZU-377428-9,LIFBUE25080002,Bultos,2.0,11.0,IB4,12:22 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2692,http://dassa.mqbic.com/NewTallySalida.php?id=785
07/10,Mercovan Argentina S...,38066-1-1,TRHU-374815-0,MVANES20252008-02,Bultos,153.0,35.0,N23-1,16:36 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2475,http://dassa.mqbic.com/NewTallySalida.php?id=787
07/10,Chemotecnica Sa,37709-1-1,HASU-119731-2,QT25Y8106673,Pallets,20.0,28.0,NV4,11:40 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2358,
07/10,Multitransport Argen...,38627-0-2,TLLU-264812-8,TCQD2507196,Contenedor,1.0,0.0,PLZA,11:40 Realizado,9:00 ,-,-
08/10,Aspee Monee,38200-0-1,MSDU-671225-5,GILSH250600161,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
08/10,Mercovan Argentina S...,38186-1-1,DFSU-433491-0,MVANES20251508,Bultos,336.0,55.0,IB9,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2530,
08/10,Industrias Saladillo...,33487-1-1,GCXU-213925-6,TPNGBSG24126014,Bultos,18.0,4.09,ANEX-A1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=1323,http://dassa.mqbic.com/NewTallySalida.php?id=342
09/10,Dmc Import Group S.R...,38646-0-1,TIIU-583158-9,TSSZ2507150,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
09/10,Boratex Srl,38323-1-1,MRSU-627747-3,256680902,Cajas,145.0,70.0,IB5,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2600,
